Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM
Date,,,,,,,,,,,,,,,
2020-04-09,64.87676239013672,38.20000076293945,33.40184020996094,65.38030647544825,38.345333099365234,36.17435397608622,64.0803030799883,37.14066696166992,32.32536127754321,65.04864913400917,37.4726676940918,35.206296957109764,161834800,204750000,60107300
2020-04-13,66.1501235961914,43.39666748046875,33.115291595458984,66.25906545571533,43.46666717529297,34.60997179644102,64.35383885573385,38.70199966430664,32.5034818344567,64.95421592166439,39.34400177001953,34.424106512227176,131022800,337131000,29651900
2020-04-14,69.49091339111328,47.32600021362305,32.859737396240234,69.78142008992293,49.45866775512695,33.88200567394633,67.31213531371759,46.1619987487793,32.45702520285958,67.78420685231022,46.597999572753906,33.30117129096439,194994800,458647500,30769000
2020-04-15,68.85665893554688,48.65533447265625,31.349557876586914,69.31662179135925,50.20866775512695,31.798737747555133,67.93673322392213,47.33333206176758,30.497668888973763,68.36522365380796,49.46666717529297,31.75226994750739,131154400,353655000,33125000
2020-04-16,69.40376281738281,49.680667877197266,30.319547653198242,69.7693157098203,50.630001068115234,31.349558806810904,68.35310854308584,47.11466598510742,30.1491686689098,69.57080305380181,47.79600143432617,31.349558806810904,157125200,309868500,30934000
2020-04-17,68.46204376220703,50.259334564208984,33.4715461730957,69.46670842031787,51.663333892822266,33.548989566183344,67.02404968637673,49.84400177001953,30.877151144794595,68.91959068992213,51.48533248901367,30.884897256669007,215250000,196923000,40829100
2020-04-20,67.04100799560547,49.75733184814453,31.89168357849121,68.19091879039594,51.03799819946289,33.09982029073781,67.02164432762936,47.48066711425781,31.39603865683418,67.28794093663315,48.8466682434082,31.558671592826,130015200,221199000,39260800
2020-04-21,64.96875,45.781333923339844,31.72130012512207,67.11847920865577,50.22200012207031,32.62740327208683,64.25701512989387,44.919334411621094,30.69128871922133,66.88365501834329,48.67466735839844,31.287612356017068,180991600,303136500,44381600
2020-04-22,66.84008026123047,48.807334899902344,32.62740707397461,67.27583298086698,48.93333435058594,33.24696321222968,65.89594444342251,45.91400146484375,32.41830632338664,66.23727988733161,46.93199920654297,32.99139464341882,116862400,212482500,27074200
2020-04-23,66.58102416992188,47.04199981689453,33.649658203125,68.20784511921251,48.93333435058594,34.586736566845715,66.5422894582851,46.87533187866211,33.15401354642231,66.78437586509685,48.50666809082031,33.40183587477365,124814400,198550500,35271000
2020-04-24,68.50321197509766,48.34333419799805,33.86650848388672,68.51289750296907,48.71533203125,34.76486533467393,67.05795538482593,46.54533386230469,33.40184226786,67.10637563628991,47.387332916259766,34.385388614249784,126161200,198180000,28653800
2020-04-27,68.55162811279297,53.25,34.02914047241211,68.88328539052851,53.29933166503906,34.323430643798226,67.77210939351758,49.0,32.7048391325881,68.21996344716476,49.17399978637695,33.758085679211526,117087600,310221000,28274400
2020-04-28,67.44043731689453,51.27466583251953,34.82682418823242,69.19556400981887,53.66666793823242,35.15208996524343,67.34845067537042,50.44599914550781,34.16080041137076,69.01399917951635,53.042667388916016,34.36215499414768,112004800,228330000,26545100
2020-04-29,69.65552520751953,53.367332458496094,36.75518798828125,70.12517343259273,53.54666519165039,36.86360990113494,68.72591428235458,52.21066665649414,35.748409284856976,68.92926597961963,52.678001403808594,35.82585266424517,137280800,243240000,29502500
2020-04-30,71.125,52.12533187866211,35.98849868774414,71.30172577794379,57.987998962402344,36.92557743359783,69.80563320705274,50.900001525878906,35.44638601555331,70.19538886698345,57.01266860961914,36.92557743359783,183064000,427078500,37076300
2020-05-01,69.97994232177734,46.75466537475586,33.40958786010742,72.3838593560598,51.518001556396484,35.92653644799738,69.20042354088866,45.5359992980957,33.30116593208247,69.29725665776628,50.33333206176758,35.33795900117223,240616800,487977000,35399300
2020-05-04,70.97007751464844,50.74599838256836,34.75712966918945,71.09838306103778,50.79999923706055,34.80359452824133,69.31420678113763,46.53333282470703,32.69710388005884,70.00415476707384,46.733333587646484,32.921690925454456,133568000,288556500,27465600
2020-05-05,72.03524780273438,51.2140007019043,34.71840286254883,72.868025831844,53.26133346557617,36.51511668713095,71.28477828502723,50.8120002746582,34.58674555461968,71.43003164134032,52.65266799926758,35.82585751837426,147751200,254875500,29276200
2020-05-06,72.77845764160156,52.172000885009766,34.067867279052734,73.41029979065098,52.6533317565918,35.05915681909795,72.35238308451844,50.740665435791016,33.998167048626065,72.7372996904726,51.766666412353516,34.79584516573895,142333600,166848000,22659000
2020-05-07,73.53134155273438,52.00266647338867,34.261474609375,73.87753081736858,53.09333419799805,35.05915263120346,73.10285116327836,51.4900016784668,34.05237394307253,73.40545924879912,51.81399917602539,34.81907343190607,115215200,172915500,22160300
2020-05-08,75.28153228759766,54.62799835205078,35.763912200927734,75.33493579173758,54.93333435058594,35.79489074621623,73.86392075066658,52.46733474731445,34.83457652220963,74.19162373480276,52.917999267578125,35.090145089424695,133838400,241297500,19977400
2020-05-11,76.46609497070312,54.08599853515625,35.42314529418945,76.96128289724894,54.93333435058594,35.77938958379428,74.57998648849065,52.33333206176758,35.24502019511134,74.78874828363153,52.70066833496094,35.70968935719545,145946400,247794000,22258000
